"sim","fail"
1,TRUE
2,FALSE
3,FALSE
101,TRUE
4,FALSE
102,FALSE
201,FALSE
5,FALSE
103,TRUE
301,FALSE
202,TRUE
6,FALSE
104,FALSE
203,FALSE
401,TRUE
302,FALSE
7,FALSE
105,FALSE
303,FALSE
204,FALSE
402,TRUE
8,FALSE
106,FALSE
403,FALSE
304,TRUE
205,TRUE
9,FALSE
107,TRUE
404,FALSE
206,TRUE
305,TRUE
10,TRUE
108,FALSE
207,FALSE
405,FALSE
306,FALSE
11,FALSE
109,FALSE
208,FALSE
406,FALSE
307,TRUE
110,TRUE
12,TRUE
407,TRUE
209,TRUE
308,FALSE
13,TRUE
111,FALSE
408,TRUE
210,TRUE
14,TRUE
309,TRUE
112,FALSE
409,FALSE
113,FALSE
211,TRUE
310,FALSE
15,TRUE
410,TRUE
212,FALSE
16,FALSE
311,FALSE
114,TRUE
213,FALSE
411,TRUE
17,FALSE
312,FALSE
115,FALSE
412,TRUE
116,TRUE
214,FALSE
313,TRUE
18,FALSE
413,FALSE
215,FALSE
314,TRUE
19,FALSE
414,FALSE
216,TRUE
315,TRUE
20,TRUE
117,FALSE
415,TRUE
217,TRUE
316,TRUE
118,FALSE
21,TRUE
416,FALSE
218,FALSE
119,FALSE
22,FALSE
317,FALSE
417,FALSE
219,FALSE
120,FALSE
318,FALSE
23,FALSE
418,FALSE
121,FALSE
220,TRUE
419,FALSE
24,FALSE
319,FALSE
122,FALSE
420,FALSE
320,FALSE
221,TRUE
25,TRUE
123,TRUE
421,TRUE
321,TRUE
26,TRUE
222,FALSE
124,TRUE
322,TRUE
223,FALSE
27,TRUE
422,FALSE
125,FALSE
323,FALSE
28,FALSE
126,TRUE
224,FALSE
324,FALSE
127,FALSE
225,FALSE
29,TRUE
423,FALSE
325,TRUE
128,FALSE
30,TRUE
226,TRUE
424,TRUE
326,TRUE
129,TRUE
227,FALSE
31,TRUE
327,FALSE
425,TRUE
130,FALSE
228,FALSE
32,FALSE
328,FALSE
426,FALSE
229,FALSE
131,FALSE
230,TRUE
132,FALSE
427,FALSE
329,TRUE
231,FALSE
33,FALSE
330,TRUE
428,TRUE
133,FALSE
34,TRUE
232,FALSE
134,FALSE
429,FALSE
331,FALSE
35,TRUE
233,TRUE
135,FALSE
430,TRUE
332,TRUE
36,TRUE
136,FALSE
333,FALSE
431,FALSE
234,TRUE
432,TRUE
37,FALSE
235,TRUE
334,FALSE
137,TRUE
38,FALSE
433,FALSE
138,TRUE
236,TRUE
335,FALSE
237,FALSE
434,TRUE
39,TRUE
139,FALSE
40,FALSE
435,FALSE
336,TRUE
140,FALSE
238,FALSE
436,FALSE
337,FALSE
41,TRUE
239,FALSE
141,TRUE
338,FALSE
437,TRUE
42,FALSE
240,FALSE
142,FALSE
438,FALSE
43,FALSE
339,TRUE
241,FALSE
143,TRUE
340,TRUE
439,FALSE
44,FALSE
144,TRUE
242,FALSE
341,TRUE
440,FALSE
45,FALSE
342,FALSE
243,TRUE
145,FALSE
46,TRUE
441,TRUE
244,TRUE
146,FALSE
343,TRUE
442,TRUE
47,TRUE
245,TRUE
147,FALSE
344,FALSE
443,FALSE
48,TRUE
246,FALSE
148,TRUE
345,TRUE
49,FALSE
444,FALSE
247,FALSE
149,TRUE
248,FALSE
50,FALSE
445,FALSE
346,FALSE
150,FALSE
249,FALSE
51,TRUE
446,FALSE
347,FALSE
447,FALSE
250,FALSE
52,FALSE
348,FALSE
151,TRUE
448,TRUE
152,FALSE
349,TRUE
53,FALSE
251,FALSE
350,TRUE
449,FALSE
252,FALSE
54,FALSE
153,TRUE
55,FALSE
253,TRUE
154,FALSE
450,TRUE
351,TRUE
56,FALSE
155,FALSE
352,TRUE
254,FALSE
451,TRUE
57,FALSE
156,TRUE
255,TRUE
353,FALSE
452,FALSE
256,FALSE
157,TRUE
354,TRUE
453,FALSE
158,FALSE
257,FALSE
355,FALSE
58,FALSE
454,TRUE
59,TRUE
159,FALSE
356,FALSE
258,FALSE
455,FALSE
60,TRUE
259,TRUE
456,TRUE
160,FALSE
357,FALSE
61,TRUE
260,TRUE
457,FALSE
161,FALSE
358,FALSE
261,FALSE
62,FALSE
162,FALSE
359,FALSE
458,FALSE
63,FALSE
262,FALSE
360,TRUE
163,FALSE
459,FALSE
64,TRUE
263,TRUE
361,FALSE
164,FALSE
460,TRUE
65,TRUE
362,TRUE
165,FALSE
66,FALSE
461,FALSE
264,FALSE
166,TRUE
363,TRUE
462,FALSE
265,FALSE
67,FALSE
167,FALSE
463,FALSE
364,TRUE
68,TRUE
266,FALSE
168,TRUE
365,FALSE
464,TRUE
267,TRUE
69,FALSE
169,TRUE
465,FALSE
366,FALSE
268,FALSE
170,TRUE
70,FALSE
367,FALSE
466,FALSE
269,FALSE
71,TRUE
467,FALSE
171,TRUE
368,TRUE
72,FALSE
270,FALSE
468,TRUE
369,TRUE
172,FALSE
73,FALSE
469,FALSE
271,FALSE
173,TRUE
370,FALSE
74,TRUE
470,TRUE
272,FALSE
371,TRUE
174,TRUE
75,FALSE
471,FALSE
372,FALSE
175,FALSE
273,FALSE
472,FALSE
76,FALSE
373,TRUE
176,TRUE
274,TRUE
77,FALSE
473,FALSE
275,FALSE
374,TRUE
177,TRUE
78,FALSE
178,FALSE
375,FALSE
474,TRUE
276,FALSE
79,FALSE
277,FALSE
475,FALSE
376,FALSE
80,TRUE
179,FALSE
377,FALSE
278,FALSE
180,FALSE
476,FALSE
81,TRUE
477,FALSE
279,FALSE
378,FALSE
82,TRUE
478,FALSE
280,FALSE
181,TRUE
83,TRUE
379,TRUE
479,TRUE
182,FALSE
84,TRUE
281,FALSE
380,FALSE
480,TRUE
183,TRUE
85,FALSE
282,FALSE
381,FALSE
481,FALSE
184,FALSE
382,FALSE
283,FALSE
86,FALSE
185,FALSE
482,FALSE
383,FALSE
87,TRUE
284,TRUE
483,TRUE
186,TRUE
88,TRUE
285,FALSE
384,FALSE
484,FALSE
187,FALSE
89,TRUE
385,TRUE
286,FALSE
188,TRUE
485,FALSE
90,FALSE
386,TRUE
189,TRUE
287,FALSE
486,FALSE
91,FALSE
387,FALSE
487,FALSE
288,TRUE
190,FALSE
92,TRUE
289,FALSE
488,FALSE
388,FALSE
191,FALSE
93,FALSE
489,TRUE
192,FALSE
389,FALSE
94,TRUE
290,TRUE
490,TRUE
291,TRUE
390,FALSE
193,FALSE
95,TRUE
491,TRUE
391,TRUE
292,FALSE
194,FALSE
96,FALSE
195,FALSE
492,FALSE
293,TRUE
392,TRUE
97,FALSE
196,TRUE
294,FALSE
393,FALSE
98,TRUE
197,FALSE
295,TRUE
394,FALSE
493,TRUE
99,TRUE
198,TRUE
296,FALSE
494,FALSE
395,TRUE
100,FALSE
199,FALSE
495,TRUE
297,FALSE
396,FALSE
200,TRUE
298,FALSE
496,FALSE
397,TRUE
497,TRUE
398,TRUE
299,FALSE
498,FALSE
399,FALSE
499,FALSE
300,TRUE
400,FALSE
500,FALSE
